timestamp,myecg,context_myecg,date (Asia/Dhaka)
1.67059E+12,616,{},2022-12-09 18:30:53.125000+06:00
1.67059E+12,534,{},2022-12-09 18:30:52.002000+06:00
1.67059E+12,538,{},2022-12-09 18:30:51.505000+06:00
1.67059E+12,497,{},2022-12-09 18:30:50.635000+06:00
1.67059E+12,552,{},2022-12-09 18:30:49.694000+06:00
1.67059E+12,544,{},2022-12-09 18:30:48.224000+06:00
1.67059E+12,522,{},2022-12-09 18:30:47.357000+06:00
1.67059E+12,478,{},2022-12-09 18:30:46.516000+06:00
1.67059E+12,532,{},2022-12-09 18:30:45.613000+06:00
1.67059E+12,514,{},2022-12-09 18:30:44.446000+06:00
1.67059E+12,516,{},2022-12-09 18:30:43.479000+06:00
1.67059E+12,523,{},2022-12-09 18:30:42.574000+06:00
1.67059E+12,531,{},2022-12-09 18:30:41.719000+06:00
1.67059E+12,427,{},2022-12-09 18:30:40.624000+06:00
1.67059E+12,537,{},2022-12-09 18:30:39.578000+06:00
1.67059E+12,514,{},2022-12-09 18:30:38.307000+06:00
1.67059E+12,585,{},2022-12-09 18:30:37.227000+06:00
1.67059E+12,552,{},2022-12-09 18:30:36.393000+06:00
1.67059E+12,535,{},2022-12-09 18:30:35.334000+06:00
1.67059E+12,521,{},2022-12-09 18:30:34.244000+06:00
1.67059E+12,502,{},2022-12-09 18:30:33.406000+06:00
1.67059E+12,560,{},2022-12-09 18:30:32.192000+06:00
1.67059E+12,504,{},2022-12-09 18:30:31.077000+06:00
1.67059E+12,462,{},2022-12-09 18:30:30.240000+06:00
1.67059E+12,614,{},2022-12-09 18:30:29.388000+06:00
1.67059E+12,509,{},2022-12-09 18:30:28.485000+06:00
1.67059E+12,531,{},2022-12-09 18:30:27.561000+06:00
1.67059E+12,546,{},2022-12-09 18:30:26.670000+06:00
1.67059E+12,511,{},2022-12-09 18:30:25.781000+06:00
1.67059E+12,547,{},2022-12-09 18:30:24.075000+06:00
1.67059E+12,529,{},2022-12-09 18:30:23.058000+06:00
1.67059E+12,544,{},2022-12-09 18:30:22.004000+06:00
1.67059E+12,394,{},2022-12-09 18:30:21.002000+06:00
1.67059E+12,619,{},2022-12-09 18:30:20.007000+06:00
1.67059E+12,560,{},2022-12-09 18:30:19.009000+06:00
1.67059E+12,499,{},2022-12-09 18:30:18.029000+06:00
1.67059E+12,416,{},2022-12-09 18:30:16.908000+06:00
1.67059E+12,490,{},2022-12-09 18:30:15.120000+06:00
1.67059E+12,595,{},2022-12-09 18:30:14+06:00
1.67059E+12,528,{},2022-12-09 18:30:13.781000+06:00
1.67059E+12,481,{},2022-12-09 18:30:12.737000+06:00
1.67059E+12,580,{},2022-12-09 18:30:11.024000+06:00
1.67059E+12,516,{},2022-12-09 18:30:10.106000+06:00
1.67059E+12,508,{},2022-12-09 18:30:09.005000+06:00
1.67059E+12,535,{},2022-12-09 18:30:08.210000+06:00
1.67059E+12,523,{},2022-12-09 18:30:07.207000+06:00
1.67059E+12,546,{},2022-12-09 18:30:06.039000+06:00
1.67059E+12,578,{},2022-12-09 18:30:05.006000+06:00
1.67059E+12,502,{},2022-12-09 18:30:04.338000+06:00
1.67059E+12,547,{},2022-12-09 18:30:03.479000+06:00
1.67059E+12,481,{},2022-12-09 18:30:02.539000+06:00
1.67059E+12,504,{},2022-12-09 18:30:01.525000+06:00
1.67059E+12,540,{},2022-12-09 18:30:00.681000+06:00
1.67059E+12,495,{},2022-12-09 18:29:59.801000+06:00
1.67059E+12,438,{},2022-12-09 18:29:58.137000+06:00
1.67059E+12,605,{},2022-12-09 18:29:57.003000+06:00
1.67059E+12,567,{},2022-12-09 18:29:56.302000+06:00
1.67059E+12,542,{},2022-12-09 18:29:55+06:00
1.67059E+12,494,{},2022-12-09 18:29:54.607000+06:00
1.67059E+12,540,{},2022-12-09 18:29:53.061000+06:00
1.67059E+12,546,{},2022-12-09 18:29:52.835000+06:00
1.67059E+12,545,{},2022-12-09 18:29:51.003000+06:00
1.67059E+12,542,{},2022-12-09 18:29:50.001000+06:00
1.67059E+12,512,{},2022-12-09 18:29:49.002000+06:00
1.67059E+12,562,{},2022-12-09 18:29:48.004000+06:00
